method,method_d,method_cat,round,time
Submission,Rear Naked Choke,Choke,1,00:52
Submission,Rear-Naked Choke,Choke,1,00:52
Submission,Triangle Choke,Choke,1,00:52
TKO,Punches,Punch,1,00:52
Submission,Guillotine Choke,Choke,1,00:53
Submission,Rear-Naked Choke,Choke,1,00:53
TKO,Kick to the Body and Punches,Striking,1,00:53
TKO,Knee and Punches,Striking,1,00:53
KO,Punches,Punch,1,00:54
Submission,Guillotine Choke,Choke,1,00:54
TKO,Punches,Punch,1,00:54
TKO,Punches,Punch,1,00:54
TKO,Punches,Punch,1,00:54
Submission,Armbar,Lock,1,00:55
Submission,Armbar,Lock,1,00:55
KO,Punches,Punch,1,00:56
KO,Punches,Punch,1,00:56
Submission,Rear-Naked Choke,Choke,1,00:56
TKO,Punches,Punch,1,00:56
Submission,Front Choke,Choke,1,00:57
Submission,Guillotine Choke,Choke,1,00:57
Submission,Rear-Naked Choke,Choke,1,00:57
TKO,Neck Injury,Stoppage,1,00:57
TKO,Elbows and Punches,Striking,1,00:57
Submission,Guillotine Choke,Choke,1,00:58
Submission,Guillotine Choke,Choke,1,00:58
KO,Punch,Punch,1,00:59
TKO,Punches,Punch,1,00:59
TKO,Corner Stoppage,Stoppage,1,00:59
KO,Elbows,Elbow,1,01:00
KO,Head Kick and Punches,Striking,1,01:00
KO,Punches,Punch,1,01:01
KO,Punches,Punch,1,01:01
KO,Punches,Punch,1,01:01
NC,Overturned by Nevada Athletic Commission,Illegal,1,01:01
TKO,Punches,Punch,1,01:01
TKO,Punches,Punch,1,01:01
TKO,Punches,Punch,1,01:01
TKO,Knee and Puches,Striking,1,01:01
KO,Elbow,Elbow,1,01:02
TKO,Kick to the Body and Punches,Striking,1,01:02
KO,Punch,Punch,1,01:03
KO,Punch,Punch,1,01:03
KO,Head Kick and Punches,Striking,1,01:03
Submission,Guillotine Choke,Choke,1,01:03
Submission,Heel Hook,Lock,1,01:03
Submission,Heel Hook,Lock,1,01:03
Submission,Straight Armbar,Lock,1,01:03
TKO,Punches,Punch,1,01:03
KO,Punch,Punch,1,01:04
KO,Punch,Punch,1,01:04
KO,Punches,Punch,1,01:04
Submission,Heel Hook,Lock,1,01:04
Submission,Keylock,Lock,1,01:04
Submission,Guillotine Choke,Choke,1,01:05
Submission,Armbar,Lock,1,01:05
Submission,Armbar,Lock,1,01:05
Submission,Guillotine Choke,Choke,1,01:06
Submission,Rear-Naked Choke,Choke,1,01:06
TKO,Knee to the Body,Knee,1,01:06
TKO,Punches,Punch,1,01:06
TKO,Knee Injury,Stoppage,1,01:06
TKO,Knees and Punches,Striking,1,01:06
Submission,Guillotine Choke,Choke,1,01:07
Submission,Guillotine Choke,Choke,1,01:07
Submission,Elbows,Elbow,1,01:07
Submission,Armlock,Lock,1,01:07
TKO,Punches,Punch,1,01:07
TKO,Punches,Punch,1,01:07
TKO,Punches,Punch,1,01:07
TKO,Knees and Punches,Striking,1,01:07
KO,Punches,Punch,1,01:08
Submission,Guillotine Choke,Choke,1,01:08
Submission,Rear-Naked Choke,Choke,1,01:08
TKO,Punches,Punch,1,01:08
KO,Punch,Punch,1,01:09
Submission,Rear-Naked Choke,Choke,1,01:09
TKO,Punches,Punch,1,01:09
TKO,Punches,Punch,1,01:09
TKO,Punches,Punch,1,01:09
KO,Punches,Punch,1,01:10
Submission,Armbar,Lock,1,01:10
TKO,Punches,Punch,1,01:10
TKO,Head Kick and Punches,Striking,1,01:10
KO,Elbows,Elbow,1,01:11
KO,Punches,Punch,1,01:11
KO,Punches,Punch,1,01:11
Submission,Reverse Triangle Armbar,Lock,1,01:11
TKO,Punches,Punch,1,01:12
KO,Punch,Punch,1,01:13
NC,Overturned by Promoter,Illegal,1,01:13
Submission,Anaconda Choke,Choke,1,01:13
KO,Punch,Punch,1,01:14
Submission,Rear-Naked Choke,Choke,1,01:14
Submission,Armbar,Lock,1,01:14
KO,Punch,Punch,1,01:15
TKO,Punches,Punch,1,01:15
KO,Head Kick and Punch,Striking,1,01:16
KO,Head Kick,Kick,1,01:17
KO,Punch,Punch,1,01:17
Submission,Kimura,Lock,1,01:17
