method,method_d,method_cat,round,time
Submission,Lapel Choke,Choke,1,03:05
Submission,Triangle Choke,Choke,1,03:05
Submission,Kimura,Lock,1,03:05
TKO,Punches,Punch,1,03:05
Submission,Arm-Triangle Choke,Choke,1,03:06
Submission,Guillotine Choke,Choke,1,03:06
Submission,Rear-Naked Choke,Choke,1,03:06
Submission,Punches,Punch,1,03:06
TKO,Punches,Punch,1,03:06
TKO,Punches,Punch,1,03:06
TKO,Kick to the Body and Punches,Striking,1,03:06
TKO,Knees and Punches,Striking,1,03:06
Submission,Rear-Naked Choke,Choke,1,03:07
Submission,Rear-Naked Choke,Choke,1,03:07
Submission,Armbar,Lock,1,03:07
TKO,Knee to the Body and Punches,Striking,1,03:07
Submission,Arm-Triangle Choke,Choke,1,03:08
Submission,Rear-Naked Choke,Choke,1,03:08
KO,Punches,Punch,1,03:09
Submission,Heel Hook,Lock,1,03:09
TKO,Punches,Punch,1,03:09
TKO,Punches,Punch,1,03:09
KO,Head Kick,Kick,1,03:10
Submission,Rear-Naked Choke,Choke,1,03:10
KO,Punches,Punch,1,03:11
KO,Punches,Punch,1,03:11
Submission,Rear-Naked Choke,Choke,1,03:11
TKO,Punches,Punch,1,03:11
Submission,Rear-Naked Choke,Choke,1,03:12
TKO,Punches,Punch,1,03:12
KO,Head Kick and Punches,Striking,1,03:13
Submission,Triangle Choke,Choke,1,03:13
TKO,Punches,Punch,1,03:13
KO,Superman Punch,Punch,1,03:14
Submission,Triangle Choke,Choke,1,03:14
Submission,Triangle Choke,Choke,1,03:14
TKO,Punches,Punch,1,03:14
KO,Elbow,Elbow,1,03:15
KO,Punch,Punch,1,03:15
KO,Punches,Punch,1,03:15
Submission,North-South Choke,Choke,1,03:15
Submission,Rear-Naked Choke,Choke,1,03:15
TKO,Punches and Elbows to the Body,Striking,1,03:15
TKO,Punches,Punch,1,03:16
KO,Punches,Punch,1,03:17
TKO,Punches,Punch,1,03:17
KO,Punches,Punch,1,03:18
Submission,Guillotine Choke,Choke,1,03:18
Submission,Guillotine Choke,Choke,1,03:18
Submission,Rear-Naked Choke,Choke,1,03:18
Submission,Arm-Triangle Choke,Choke,1,03:19
Submission,Heel Hook,Lock,1,03:19
TKO,Elbows and Punches,Striking,1,03:19
KO,Punch,Punch,1,03:21
KO,Punches,Punch,1,03:21
Submission,Rear-Naked Choke,Choke,1,03:21
TKO,Head Kick and Punches,Striking,1,03:21
KO,Punches,Punch,1,03:22
Submission,Rear-Naked Choke,Choke,1,03:22
Submission,Armbar,Lock,1,03:22
Submission,Body Triangle,Lock,1,03:22
TKO,Punches,Punch,1,03:22
TKO,Punches,Punch,1,03:22
KO,Punch,Punch,1,03:23
Submission,Rear-Naked Choke,Choke,1,03:23
Submission,Rear-Naked Choke,Choke,1,03:23
Submission,Heel Hook,Lock,1,03:23
Submission,Triangle Armbar,Lock,1,03:23
TKO,Punches,Punch,1,03:23
TKO,Punches,Punch,1,03:23
KO,Knees,Knee,1,03:24
TKO,Head Kick and Punches,Striking,1,03:24
KO,Front Kick and Punches,Striking,1,03:25
TKO,Punches,Punch,1,03:25
TKO,Punches,Punch,1,03:25
KO,Punch,Punch,1,03:26
Submission,Armbar,Lock,1,03:26
TKO,Punches,Punch,1,03:26
Submission,Arm-Triangle Choke,Choke,1,03:27
Submission,Guillotine Choke,Choke,1,03:27
TKO,Punches,Punch,1,03:27
KO,Knee to the Body,Knee,1,03:28
Submission,Arm-Triangle Choke,Choke,1,03:28
Submission,Kimura,Lock,1,03:28
TKO,Punches,Punch,1,03:28
Submission,Guillotine Choke,Choke,1,03:29
Submission,Rear-Naked Choke,Choke,1,03:29
TKO,Punches,Punch,1,03:29
KO,Punches,Punch,1,03:30
KO,Punches,Punch,1,03:31
NC,Overturned by CABMMA,Illegal,1,03:31
Submission,Triangle Armbar,Lock,1,03:31
TKO,Punches,Punch,1,03:31
Submission,Rear-Naked Choke,Choke,1,03:32
TKO,Doctor Stoppage,Stoppage,1,03:32
TKO,Elbows and Punches,Striking,1,03:32
TKO,Punches and Elbows,Striking,1,03:32
Submission,Rear-Naked Choke,Choke,1,03:33
KO,Punch,Punch,1,03:34
KO,Punches,Punch,1,03:34
Submission,Rear-Naked Choke,Choke,1,03:34
TKO,Elbows,Elbow,1,03:34
KO,Punches,Punch,1,03:35
Submission,Punches,Punch,1,03:35
TKO,Punches,Punch,1,03:35
TKO,Punches and Knees,Striking,1,03:35
Submission,Rear-Naked Choke,Choke,1,03:36
TKO,Punches,Punch,1,03:36
TKO,Punches,Punch,1,03:36
KO,Punch,Punch,1,03:37
Submission,Rear-Naked Choke,Choke,1,03:37
TKO,Doctor Stoppage,Stoppage,1,03:37
TKO,Knee and Punches,Striking,1,03:37
KO,Punches,Punch,1,03:38
KO,Punches,Punch,1,03:38
Submission,Guillotine Choke,Choke,1,03:38
Submission,Rear-Naked Choke,Choke,1,03:38
Submission,Triangle Choke,Choke,1,03:39
KO,Punch,Punch,1,03:40
Submission,Rear-Naked Choke,Choke,1,03:40
TKO,Punches,Punch,1,03:41
KO,Punch,Punch,1,03:42
Submission,Armbar,Lock,1,03:42
TKO,Punches,Punch,1,03:42
TKO,Punches,Punch,1,03:42
TKO,Punches,Punch,1,03:43
TKO,Punches,Punch,1,03:43
KO,Punch,Punch,1,03:45
KO,Punches,Punch,1,03:45
Submission,Rear-Naked Choke,Choke,1,03:45
Submission,Kimura,Lock,1,03:45
TKO,Punches,Punch,1,03:45
KO,Elbows and Punches,Striking,1,03:46
Submission,Rear-Naked Choke,Choke,1,03:46
TKO,Punches and Elbows,Striking,1,03:46
KO,Punches,Punch,1,03:47
Submission,Guillotine Choke,Choke,1,03:47
Submission,Armbar,Lock,1,03:47
KO,Punches,Punch,1,03:48
Submission,Armbar,Lock,1,03:48
Submission,Punches,Punch,1,03:48
TKO,Punches,Punch,1,03:48
Submission,Arm-Triangle Choke,Choke,1,03:50
TKO,Kick to the Body,Kick,1,03:50
TKO,Punches,Punch,1,03:50
KO,Punch and Elbows,Striking,1,03:51
KO,Punch,Punch,1,03:52
Submission,Guillotine Choke,Choke,1,03:52
Submission,Triangle Choke,Choke,1,03:52
Submission,Kimura,Lock,1,03:52
KO,Head Kick,Kick,1,03:53
Submission,Kimura,Lock,1,03:53
TKO,Punches,Punch,1,03:53
TKO,Punches,Punch,1,03:53
KO,Punches,Punch,1,03:54
Submission,Rear-Naked Choke,Choke,1,03:54
TKO,Punches,Punch,1,03:54
TKO,Punches,Punch,1,03:54
KO,Punches,Punch,1,03:55
TKO,Punches,Punch,1,03:55
KO,Punch,Punch,1,03:56
Submission,Rear-Naked Choke,Choke,1,03:56
TKO,Elbows,Elbow,1,03:56
Submission,Rear-Naked Choke,Choke,1,03:57
TKO,Punches,Punch,1,03:57
KO,Knee and Punches,Striking,1,03:58
Submission,Guillotine Choke,Choke,1,03:58
Submission,Peruvian Necktie,Choke,1,03:58
TKO,Punches,Punch,1,03:58
KO,Punch,Punch,1,03:59
Submission,Rear Naked Choke,Choke,1,03:59
Submission,Triangle Choke,Choke,1,03:59
Submission,Elbows,Elbow,1,03:59
Submission,Kimura,Lock,1,03:59
Submission,Reverse Armbar,Lock,1,03:59
TKO,Punches and Elbows,Striking,1,03:59
Submission,Guillotine Choke,Choke,1,04:00
TKO,Punches,Punch,1,04:00
KO,Punches,Punch,1,04:01
Submission,Armbar,Lock,1,04:01
Submission,Guillotine Choke,Choke,1,04:03
Submission,Guillotine Choke,Choke,1,04:03
Submission,Rear-Naked Choke,Choke,1,04:03
Submission,Rear-Naked Choke,Choke,1,04:03
Submission,Triangle Choke,Choke,1,04:03
Submission,Triangle Choke,Choke,1,04:04
KO,Punch,Punch,1,04:05
KO,Punch,Punch,1,04:05
Submission,Rear-Naked Choke,Choke,1,04:05
TKO,Punches,Punch,1,04:05
TKO,Punches,Punch,1,04:05
KO,Punch,Punch,1,04:06
Submission,Arm-Triangle Choke,Choke,1,04:06
Submission,Triangle Choke,Choke,1,04:06
TKO,Punches,Punch,1,04:06
TKO,Punches,Punch,1,04:07
KO,Front Kick and Punches,Striking,1,04:08
Submission,Guillotine Choke,Choke,1,04:08
Submission,Rear-Naked Choke,Choke,1,04:09
Submission,Rear-Naked Choke,Choke,1,04:09
Submission,Rear-Naked Choke,Choke,1,04:09
KO,Punch,Punch,1,04:10
Submission,Guillotine Choke,Choke,1,04:10
Submission,Punches,Punch,1,04:10
Submission,Punches,Punch,1,04:10
TKO,Punches,Punch,1,04:10
TKO,Punches,Punch,1,04:10
TKO,Punches and Elbows,Striking,1,04:10
KO,Punch,Punch,1,04:11
TKO,Punches,Punch,1,04:12
KO,Head Kick,Kick,1,04:13
KO,Punch,Punch,1,04:13
KO,Punches,Punch,1,04:13
TKO,Punches,Punch,1,04:13
TKO,Doctor Stoppage,Stoppage,1,04:13
DQ,Illegal Downward Elbows,Illegal,1,04:14
Submission,Armbar,Lock,1,04:14
TKO,Punches,Punch,1,04:14
KO,Punch,Punch,1,04:15
Submission,Brabo Choke,Choke,1,04:15
Submission,Rear-Naked Choke,Choke,1,04:15
Submission,Rear-Naked Choke,Choke,1,04:15
Submission,Inverted Heel Hook,Lock,1,04:15
TKO,Punches,Punch,1,04:15
TKO,Punches,Punch,1,04:15
Submission,Kimura,Lock,1,04:16
TKO,Doctor Stoppage,Stoppage,1,04:16
Submission,Guillotine Choke,Choke,1,04:17
TKO,Punches,Punch,1,04:17
KO,Punches,Punch,1,04:18
TKO,Punches,Punch,1,04:18
TKO,Punches and Elbows,Striking,1,04:18
NC,Overturned by Commission,Illegal,1,04:19
Submission,Brabo Choke,Choke,1,04:19
KO,Knees and Punches,Striking,1,04:20
Submission,Rear-Naked Choke,Choke,1,04:20
Submission,Triangle Choke,Choke,1,04:20
Submission,Armbar,Lock,1,04:20
TKO,Punches,Punch,1,04:20
TKO,Punches,Punch,1,04:20
TKO,Punches,Punch,1,04:20
TKO,Punches,Punch,1,04:20
KO,Punch,Punch,1,04:21
Submission,Guillotine Choke,Choke,1,04:21
Submission,Triangle Choke,Choke,1,04:21
Submission,Armbar,Lock,1,04:21
Submission,Armbar,Lock,1,04:21
TKO,Punches,Punch,1,04:21
TKO,Punches,Punch,1,04:21
TKO,Cut,Stoppage,1,04:21
KO,Elbows and Punches,Striking,1,04:22
Submission,Rear-Naked Choke,Choke,1,04:22
TKO,Punches,Punch,1,04:22
KO,Punch,Punch,1,04:23
Submission,Rear-Naked Choke,Choke,1,04:23
TKO,Punches,Punch,1,04:23
KO,Punch,Punch,1,04:24
KO,Punches,Punch,1,04:24
Submission,Kneebar,Lock,1,04:24
TKO,Punches,Punch,1,04:24
TKO,Punches,Punch,1,04:25
KO,Punch,Punch,1,04:27
KO,Punches,Punch,1,04:27
Submission,Rear-Naked Choke,Choke,1,04:27
Submission,Rear-Naked Choke,Choke,1,04:27
Submission,Armbar,Lock,1,04:27
Submission,Armbar,Lock,1,04:27
Submission,Kimura,Lock,1,04:27
TKO,Elbows,Elbow,1,04:28
TKO,Punches,Punch,1,04:28
KO,Spinning Hook Kick,Kick,1,04:29
KO,Punches,Punch,1,04:29
Submission,Armbar,Lock,1,04:29
Submission,Triangle Armbar,Lock,1,04:29
TKO,Punches,Punch,1,04:29
KO,Punch,Punch,1,04:30
Submission,Rear-Naked Choke,Choke,1,04:30
Submission,Kimura,Lock,1,04:30
Submission,Punches,Punch,1,04:30
Submission,Flying Triangle Choke,Choke,1,04:31
Submission,Rear-Naked Choke,Choke,1,04:31
Submission,Armbar,Lock,1,04:31
KO,Flying Head Kick and Punches,Striking,1,04:32
Submission,Armbar,Lock,1,04:32
TKO,Punches,Punch,1,04:32
Submission,Guillotine Choke,Choke,1,04:33
Submission,Rear-Naked Choke,Choke,1,04:33
Submission,Rear-Naked Choke,Choke,1,04:33
Submission,Rear-Naked Choke,Choke,1,04:33
TKO,Punches,Punch,1,04:33
TKO,Elbows and Punches,Striking,1,04:33
Submission,Rear-Naked Choke,Choke,1,04:34
Submission,Rear-Naked Choke,Choke,1,04:34
Submission,Armbar,Lock,1,04:34
TKO,Punches,Punch,1,04:34
TKO,Doctor Stoppage,Stoppage,1,04:34
KO,Punches,Punch,1,04:35
Submission,Guillotine Choke,Choke,1,04:35
TKO,Punches,Punch,1,04:35
TKO,Punches,Punch,1,04:35
Submission,Guillotine Choke,Choke,1,04:36
TKO,Elbows,Elbow,1,04:36
TKO,Spinning Back Fist,Punch,1,04:36
KO,Punches,Punch,1,04:37
Submission,Guillotine Choke,Choke,1,04:37
Submission,Elbow,Elbow,1,04:37
TKO,Body Kick and Punches,Striking,1,04:37
TKO,Elbows and Punches,Striking,1,04:37
KO,Punches,Punch,1,04:38
Submission,Guillotine Choke,Choke,1,04:38
Submission,Armbar,Lock,1,04:38
TKO,Punches,Punch,1,04:38
TKO,Punches,Punch,1,04:38
Submission,Rear-Naked Choke,Choke,1,04:39
TKO,Punches,Punch,1,04:39
TKO,Punches,Punch,1,04:39
KO,Head Kick,Kick,1,04:40
KO,Punches,Punch,1,04:40
Submission,Rear-Naked Choke,Choke,1,04:40
Submission,Armlock,Lock,1,04:40
TKO,Punches,Punch,1,04:40
TKO,Punches,Punch,1,04:40
TKO,Punches,Punch,1,04:40
TKO,Knee to the Body and Punches,Striking,1,04:40
TKO,Punches,Punch,1,04:41
TKO,Punches,Punch,1,04:41
TKO,Punches,Punch,1,04:41
TKO,Head Kick and Punches,Striking,1,04:41
Submission,Armbar,Lock,1,04:42
TKO,Punches,Punch,1,04:42
TKO,Punches,Punch,1,04:42
TKO,Punches,Punch,1,04:42
Submission,Guillotine Choke,Choke,1,04:43
Submission,Armbar,Lock,1,04:43
Submission,Punches,Punch,1,04:43
TKO,Punches,Punch,1,04:43
Submission,Guillotine Choke,Choke,1,04:44
Submission,Punches,Punch,1,04:44
TKO,Punches,Punch,1,04:44
KO,Punches,Punch,1,04:45
Submission,Triangle Choke,Choke,1,04:45
TKO,Punches,Punch,1,04:45
Submission,Anaconda Choke,Choke,1,04:46
Submission,Rear-Naked Choke,Choke,1,04:46
Submission,Headbutts,Other,1,04:46
Submission,Guillotine Choke,Choke,1,04:47
Submission,Armlock,Lock,1,04:47
TKO,Punches,Punch,1,04:47
TKO,Knee and Punches,Striking,1,04:48
TKO,Punches and Elbows,Striking,1,04:48
Submission,Rear-Naked Choke,Choke,1,04:49
Submission,Armbar,Lock,1,04:49
Submission,Punches,Punch,1,04:49
TKO,Punches,Punch,1,04:49
TKO,Punches,Punch,1,04:49
Submission,Punches,Punch,1,04:50
TKO,Knees,Knee,1,04:50
TKO,Punches,Punch,1,04:50
TKO,Punches,Punch,1,04:50
KO,Head Kick,Kick,1,04:51
KO,Elbows and Punches,Striking,1,04:51
Submission,Armbar,Lock,1,04:51
TKO,Punches,Punch,1,04:52
TKO,Corner Stoppage,Stoppage,1,04:52
TKO,Slam and Punches,Striking,1,04:52
Submission,Arm-Triangle Choke,Choke,1,04:53
Submission,Guillotine Choke,Choke,1,04:53
Submission,Armbar,Lock,1,04:53
TKO,Punches,Punch,1,04:53
KO,Punches,Punch,1,04:54
KO,Punches,Punch,1,04:54
Submission,Guillotine Choke,Choke,1,04:54
Submission,Rear-Naked Choke,Choke,1,04:54
KO,Punch,Punch,1,04:55
Submission,Anaconda Choke,Choke,1,04:55
TKO,Punches,Punch,1,04:55
TKO,Punches,Punch,1,04:55
TKO,Punches,Punch,1,04:55
KO,Punch,Punch,1,04:56
KO,Front Kick and Punches,Striking,1,04:57
Submission,Rear-Naked Choke,Choke,1,04:57
Submission,Armbar,Lock,1,04:57
TKO,Punches,Punch,1,04:57
TKO,Punches,Punch,1,04:57
TKO,Punches,Punch,1,04:57
TKO,Punches,Punch,1,04:57
TKO,Punches,Punch,1,04:57
Submission,Guillotine Choke,Choke,1,04:58
TKO,Punches,Punch,1,04:58
KO,Head Kick,Kick,1,04:59
KO,Knee,Knee,1,04:59
KO,Punch,Punch,1,04:59
KO,Punches,Punch,1,04:59
KO,Punches,Punch,1,04:59
KO,Punches,Punch,1,04:59
KO,Punches,Punch,1,04:59
KO,Punches,Punch,1,04:59
Submission,Rear-Naked Choke,Choke,1,04:59
Submission,Rear-Naked Choke,Choke,1,04:59
Submission,Armbar,Lock,1,04:59
TKO,Punches,Punch,1,04:59
TKO,Head Kick and Punches,Striking,1,04:59
TKO,Punches and Elbows,Striking,1,04:59
TKO,Ankle Injury,Injury,1,05:00
TKO,Arm Injury,Injury,1,05:00
TKO,Retirement,Other,1,05:00
TKO,Retirement,Other,1,05:00
TKO,Retirement,Other,1,05:00
TKO,Retirement,Other,1,05:00
TKO,Punches,Punch,1,05:00
TKO,Corner Stoppage,Stoppage,1,05:00
TKO,Corner Stoppage,Stoppage,1,05:00
TKO,Cut,Stoppage,1,05:00
TKO,Doctor Stoppage,Stoppage,1,05:00
TKO,Doctor Stoppage,Stoppage,1,05:00
TKO,Doctor Stoppage,Stoppage,1,05:00
TKO,Doctor Stoppage,Stoppage,1,05:00
TKO,Jaw Injury,Stoppage,1,05:00
TKO,Knee Injury,Stoppage,1,05:00
TKO,Leg Injury,Stoppage,1,05:00
Submission,Lapel Choke,Choke,1,05:08
Submission,Strikes,Striking,1,05:26
TKO,Punches,Punch,1,05:31
Submission,Armlock,Lock,1,05:32
TKO,Punches,Punch,1,05:32
Submission,Forearm Choke,Choke,1,05:48
TKO,Punches,Punch,1,05:57
Submission,Armlock,Lock,1,06:28
Submission,Punches,Punch,1,06:41
Submission,Strikes,Striking,1,06:52
Submission,Exhaustion,Other,1,07:00
TKO,Doctor Stoppage,Stoppage,1,07:25
Submission,Punches,Punch,1,07:40
Submission,Rear-Naked Choke,Choke,1,07:57
TKO,Punches,Punch,1,08:02
KO,Punch,Punch,1,08:07
Submission,Punches,Punch,1,08:08
TKO,Punches,Punch,1,08:16
Submission,Shoulder Choke,Choke,1,09:02
Submission,Guillotine Choke,Choke,1,09:03
TKO,Corner Stoppage,Stoppage,1,09:08
TKO,Punches,Punch,1,09:22
TKO,Punches,Punch,1,09:46
Submission,Armlock,Lock,1,09:51
TKO,Punches,Punch,1,09:56
Decision,Unanimous,Decision,1,10:00
Decision,Unanimous,Decision,1,10:00
TKO,Punches,Punch,1,10:21
Submission,Keylock,Lock,1,11:01
Submission,Fatigue,Other,1,11:19
TKO,Punches,Punch,1,11:34
Decision,Unanimous,Decision,1,12:00
TKO,Cut,Stoppage,1,12:00
Submission,Punches,Punch,1,12:13
Submission,Position,Other,1,12:27
KO,Head Kick,Kick,1,12:38
TKO,Strikes,Striking,1,13:17
TKO,Punches,Punch,1,14:15
TKO,Cut,Stoppage,1,14:31
Decision,Split,Decision,1,15:00
Decision,Split,Decision,1,15:00
Decision,Split,Decision,1,15:00
Decision,Unanimous,Decision,1,15:00
Decision,Unanimous,Decision,1,15:00
Decision,Unanimous,Decision,1,15:00
Decision,Unanimous,Decision,1,15:00
Decision,Unanimous,Decision,1,15:00
Decision,Unanimous,Decision,1,15:00
Decision,Unanimous,Decision,1,15:00
Decision,Unanimous,Decision,1,15:00
Decision,Unanimous,Decision,1,15:00
Submission,Triangle Choke,Choke,1,15:49
Submission,Kneebar,Lock,1,16:28
Submission,Rear-Naked Choke,Choke,1,17:45
Decision,Split,Decision,1,21:00
Decision,Unanimous,Decision,1,21:00
Decision,Unanimous,Decision,1,21:00
Decision,Split,Decision,1,30:00:00
TKO,Cut,Stoppage,1,N/A
KO,Flying Knee,Knee,2,00:09
KO,Punches,Punch,2,00:10
TKO,Head Kick and Punches,Striking,2,00:10
TKO,Punches,Punch,2,00:11
KO,Punch,Punch,2,00:15
KO,Punches,Punch,2,00:17
TKO,Knee Injury,Stoppage,2,00:17
KO,Punches,Punch,2,00:20
Submission,Shoulder Injury,Stoppage,2,00:20
TKO,Leg Injury,Stoppage,2,00:20
KO,Punch,Punch,2,00:21
KO,Punches,Punch,2,00:21
KO,Punches,Punch,2,00:22
TKO,Punches,Punch,2,00:22
KO,Flying Knee,Knee,2,00:23
KO,Head Kick and Punch,Striking,2,00:24
Submission,Armbar,Lock,2,00:24
TKO,Punches,Punch,2,00:24
NC,Accidental Eye Poke,Accident,2,00:25
TKO,Punches,Punch,2,00:25
TKO,Flying Knee and Punches,Striking,2,00:25
KO,Punches,Punch,2,00:26
KO,Head Kick and Punches,Striking,2,00:26
TKO,Punch,Punch,2,00:27
TKO,Punches,Punch,2,00:27
KO,Punch,Punch,2,00:28
KO,Punches,Punch,2,00:28
KO,Knee,Knee,2,00:29
KO,Punches,Punch,2,00:29
TKO,Punches,Punch,2,00:29
TKO,Punches,Punch,2,00:29
TKO,Punches,Punch,2,00:30
Submission,Arm-Triangle Choke,Choke,2,00:31
TKO,Punches,Punch,2,00:32
KO,Punch,Punch,2,00:33
TKO,Knee and Punches,Striking,2,00:34
KO,Punch,Punch,2,00:35
TKO,Spinning Back-Kick and Punches,Striking,2,00:35
KO,Punch,Punch,2,00:37
Submission,Rear-Naked Choke,Choke,2,00:37
TKO,Punches,Punch,2,00:37
KO,Punches,Punch,2,00:38
KO,Punches,Punch,2,00:38
KO,Kick to the Body,Kick,2,00:39
Submission,Guillotine Choke,Choke,2,00:39
TKO,Punches,Punch,2,00:40
Submission,Guillotine Choke,Choke,2,00:41
TKO,Punches,Punch,2,00:41
Submission,Guillotine Choke,Choke,2,00:42
TKO,Punches,Punch,2,00:42
DQ,Kicking with Shoes,Illegal,2,00:43
KO,Punch,Punch,2,00:43
TKO,Punches,Punch,2,00:44
Submission,Guillotine Choke,Choke,2,00:47
TKO,Shoulder Injury,Stoppage,2,00:48
TKO,Hook Kick and Punches,Striking,2,00:48
Submission,Rear-Naked Choke,Choke,2,00:50
TKO,Elbows and Punches,Striking,2,00:50
TKO,Punches,Punch,2,00:52
TKO,Punches,Punch,2,00:53
TKO,Elbows,Elbow,2,00:54
Submission,Armbar,Lock,2,00:55
Submission,Guillotine Choke,Choke,2,00:57
Submission,Armbar,Lock,2,00:57
TKO,Punches,Punch,2,00:58
KO,Head Kick and Punches,Striking,2,00:59
KO,Punches,Punch,2,01:00
TKO,Elbows,Elbow,2,01:00
KO,Punch to the Body,Punch,2,01:01
Submission,Guillotine Choke,Choke,2,01:01
TKO,Finger Injury,Stoppage,2,01:01
KO,Punch,Punch,2,01:02
Submission,Rear Naked Choke,Choke,2,01:02
TKO,Flying Knee and Punches,Striking,2,01:02
Submission,Rear-Naked Choke,Choke,2,01:03
TKO,Punches,Punch,2,01:03
KO,Front Kick,Kick,2,01:05
Submission,Guillotine Choke,Choke,2,01:05
Submission,Neck Crank,Lock,2,01:05
KO,Head Kick,Kick,2,01:06
KO,Punches,Punch,2,01:06
Submission,Rear-Naked Choke,Choke,2,01:06
Submission,Rear-Naked Choke,Choke,2,01:07
Submission,Rear-Naked Choke,Choke,2,01:07
TKO,Knees,Knee,2,01:07
TKO,Punches,Punch,2,01:07
TKO,Punches,Punch,2,01:07
Submission,Arm-Triangle Choke,Choke,2,01:09
Submission,Rear-Naked Choke,Choke,2,01:09
KO,Knee,Knee,2,01:10
TKO,Elbows and Punches,Striking,2,01:10
Submission,Neck Injury,Stoppage,2,01:11
Submission,Rear-Naked Choke,Choke,2,01:12
TKO,Punches,Punch,2,01:12
Submission,Rear-Naked Choke,Choke,2,01:14
Submission,Armbar,Lock,2,01:14
TKO,Punches,Punch,2,01:14
Submission,Keylock,Lock,2,01:15
TKO,Punches,Punch,2,01:15
TKO,Punches,Punch,2,01:15
TKO,Leg Injury,Stoppage,2,01:16
Submission,Guillotine Choke,Choke,2,01:17
Submission,Armbar,Lock,2,01:17
KO,Punches,Punch,2,01:18
TKO,Knee and Punches,Striking,2,01:18
KO,Punch,Punch,2,01:19
Submission,Arm-Triangle Choke,Choke,2,01:19
TKO,Punches,Punch,2,01:19
KO,Punches,Punch,2,01:20
Submission,Rear-Naked Choke,Choke,2,01:20
Submission,Triangle Choke,Choke,2,01:20
TKO,Punches,Punch,2,01:20
TKO,Punches,Punch,2,01:22
TKO,Punches,Punch,2,01:23
Submission,Guillotine Choke,Choke,2,01:24
TKO,Punches,Punch,2,01:24
TKO,Head Kick and Punches,Striking,2,01:24
TKO,Punches,Punch,2,01:25
TKO,Head Kick and Punches,Striking,2,01:25
TKO,Punches,Punch,2,01:26
KO,Slam,Striking,2,01:27
Submission,Guillotine Choke,Choke,2,01:27
Submission,Triangle Choke,Choke,2,01:27
TKO,Leg Kicks,Kick,2,01:27
TKO,Punches,Punch,2,01:27
TKO,Head Kick and Punches,Striking,2,01:27
KO,Punch,Punch,2,01:28
KO,Punches,Punch,2,01:28
Submission,Guillotine Choke,Choke,2,01:28
Submission,Neck Crank,Lock,2,01:28
TKO,Kick to the Body and Punches,Striking,2,01:28
Submission,Rear-Naked Choke,Choke,2,01:29
TKO,Doctor Stoppage,Stoppage,2,01:30
TKO,Head Kick and Punches,Striking,2,01:30
KO,Punches,Punch,2,01:31
TKO,Punches,Punch,2,01:31
TKO,Punches,Punch,2,01:31
KO,Punches,Punch,2,01:32
KO,Punches,Punch,2,01:32
Submission,Brabo Choke,Choke,2,01:32
Submission,Armbar,Lock,2,01:32
KO,Punch,Punch,2,01:33
Submission,Rear-Naked Choke,Choke,2,01:33
NC,Accidental Eye Poke,Accident,2,01:34
Submission,Bulldog Choke,Choke,2,01:34
TKO,Punches,Punch,2,01:34
TKO,Punches,Punch,2,01:34
TKO,Punches,Punch,2,01:35
TKO,Punches,Punch,2,01:35
TKO,Punches,Punch,2,01:35
KO,Elbows,Elbow,2,01:37
KO,Elbow and Punches,Striking,2,01:37
Submission,Guillotine Choke,Choke,2,01:37
Submission,Rear-Naked Choke,Choke,2,01:38
Submission,Rear-Naked Choke,Choke,2,01:38
KO,Knee,Knee,2,01:39
Submission,Rear-Naked Choke,Choke,2,01:39
TKO,Punches,Punch,2,01:39
TKO,Doctor Stoppage,Stoppage,2,01:39
TKO,Knee,Knee,2,01:40
KO,Punch,Punch,2,01:41
Submission,Rear-Naked Choke,Choke,2,01:41
KO,Head Kick,Kick,2,01:42
Submission,Rear-Naked Choke,Choke,2,01:42
KO,Flying Knee,Knee,2,01:43
Submission,Rear-Naked Choke,Choke,2,01:43
Submission,Armbar,Lock,2,01:43
TKO,Punches,Punch,2,01:43
TKO,Corner Stoppage,Stoppage,2,01:43
Submission,Rear-Naked Choke,Choke,2,01:44
Submission,Heel Hook,Lock,2,01:44
TKO,Leg Kicks,Kick,2,01:44
TKO,Knees and Punches,Striking,2,01:46
NC,Lentz Struck by Illegal Knee,Illegal,2,01:48
Submission,Guillotine Choke,Choke,2,01:48
TKO,Punches,Punch,2,01:48
Submission,Rear-Naked Choke,Choke,2,01:49
Submission,Rear-Naked Choke,Choke,2,01:49
Submission,Arm-Triangle Choke,Choke,2,01:50
TKO,Punches,Punch,2,01:50
KO,Flying Knee,Knee,2,01:51
KO,Punch,Punch,2,01:51
Submission,Armbar,Lock,2,01:51
Submission,Rear-Naked Choke,Choke,2,01:52
Submission,Triangle Armbar,Lock,2,01:52
Submission,Guillotine Choke,Choke,2,01:53
Submission,Guillotine Choke,Choke,2,01:53
TKO,Punches,Punch,2,01:53
Submission,Rear-Naked Choke,Choke,2,01:54
Submission,Reverse Bulldog Choke,Choke,2,01:54
TKO,Punches,Punch,2,01:54
TKO,Punches,Punch,2,01:54
TKO,Punches,Punch,2,01:54
Submission,Bulldog Choke,Choke,2,01:55
Submission,Rear-Naked Choke,Choke,2,01:55
TKO,Punches,Punch,2,01:55
TKO,Knee to the Body and Punches,Striking,2,01:55
Submission,Rear-Naked Choke,Choke,2,01:56
Submission,Punches,Punch,2,01:56
TKO,Punches,Punch,2,01:56
KO,Punches,Punch,2,01:57
Submission,Guillotine Choke,Choke,2,01:58
Submission,Kimura,Lock,2,01:59
